cyclomatic_complexity,max_cyclomatic_complexity,avg_cyclomatic_complexity,wmc,dit,noc,cbo,rfc,lcom,fan_in,fan_out,loc,sloc,num_methods,num_classes,code_smells_count,change_frequency,bug_history,recent_changes,author_count,is_buggy,file_id,filepath
3.3463404498842957,11.273106935677049,1.326512556420154,3.7009468813116175,1.0,2.0,3.3226081045485363,59.93214176480381,18.403404400689045,11.0,4.0,36.0,72.0,11.0,3.0,3.0,0.1412262589191605,0.0,1.0,3.0,1,0,synthetic_0
16.050607154587606,1.8789172619608405,7.985337042602896,6.530962372622911,0.0,1.0,10.321091497763021,19.22859344108441,60.98491737704197,2.0,1.0,107.0,202.0,14.0,1.0,1.0,0.4886084607366443,1.0,0.0,4.0,0,1,synthetic_1
7.583728467727247,2.762942146834115,3.111122469270263,3.896236349662159,3.0,1.0,0.5407194839157946,103.44247023602402,11.273152721830519,7.0,5.0,216.0,262.0,19.0,2.0,4.0,0.170468755283856,2.0,1.0,5.0,0,2,synthetic_2
5.564712768879766,23.882305001775055,6.25399767256999,1.8577181572073513,1.0,3.0,3.0300830513414256,6.156365347825152,55.955920466598954,5.0,14.0,313.0,61.0,11.0,2.0,4.0,1.76155603798828,3.0,2.0,6.0,0,3,synthetic_3
1.8481243523117314,10.324939469655895,2.1572062784935246,2.5711242698670507,0.0,0.0,6.203388115200396,60.89056514189731,175.1815195114605,4.0,9.0,58.0,245.0,13.0,1.0,5.0,0.24565345366731214,1.0,3.0,4.0,0,4,synthetic_4
1.847981459573026,1.0923960561099442,7.7763715436377785,12.352586867307583,5.0,1.0,12.5127786667039,44.963319140228926,4.930319686089348,3.0,6.0,39.0,520.0,14.0,2.0,1.0,0.11621189726839423,0.0,5.0,7.0,0,5,synthetic_5
1.2991938430434034,2.0699690143594935,2.4789653621805137,4.621844126901932,2.0,3.0,3.0706368563212716,44.21076131670109,55.82895419522681,7.0,4.0,227.0,296.0,13.0,1.0,2.0,0.074581228501101,0.0,3.0,7.0,0,6,synthetic_6
11.056154322399697,11.891623872902409,1.0326904198455265,9.059622310218371,4.0,0.0,7.865672691217301,55.88797832443767,29.326891987858676,7.0,0.0,10.0,23.0,1.0,1.0,1.0,0.1294752176701145,4.0,2.0,6.0,1,7,synthetic_7
5.595410768136323,1.05074437051797,8.073721890887361,14.000103694286608,5.0,1.0,17.37089326979416,42.94176337811181,101.30158110967582,11.0,12.0,49.0,206.0,8.0,2.0,4.0,0.13981939058812684,1.0,4.0,5.0,0,8,synthetic_8
7.156250308522951,2.7531581610419904,1.2871768316454257,23.449148680250843,0.0,1.0,7.65405207257669,29.522662512706916,9.749054952932191,0.0,17.0,15.0,62.0,12.0,4.0,1.0,0.02135655187879351,0.0,3.0,2.0,0,9,synthetic_9
1.103996539995693,8.956978461389317,2.1539609001551168,0.8021146020003085,5.0,0.0,2.121725143726796,4.220819577827474,58.98449381901769,8.0,12.0,46.0,673.0,19.0,1.0,3.0,0.1384079441912164,0.0,2.0,5.0,0,10,synthetic_10
18.51778737579156,12.773152866548127,9.990917149564856,32.12988487652239,2.0,0.0,0.1976273099532418,0.9920074004995714,91.04354307988228,13.0,17.0,50.0,104.0,12.0,3.0,1.0,0.18721986493994439,1.0,1.0,1.0,0,11,synthetic_11
9.932147716773375,11.554414821352488,10.023848620311968,19.771873807345926,0.0,0.0,16.32785349099345,76.09149905442793,144.67161936901365,4.0,4.0,108.0,24.0,8.0,3.0,2.0,0.3848374433558763,0.0,1.0,1.0,0,12,synthetic_12
2.193438126244735,3.539498673080245,3.5559918731657914,1.7059086075266852,5.0,1.0,0.1719909132820905,28.764230682923404,57.481811749231106,3.0,12.0,112.0,198.0,8.0,2.0,5.0,0.32077094051259236,0.0,4.0,1.0,0,13,synthetic_13
2.003394943748317,13.454172888985388,3.997690241171574,41.362693969761814,4.0,1.0,16.616462132833362,47.768176167949186,34.37563063057698,5.0,3.0,424.0,63.0,29.0,4.0,4.0,0.370088108222,0.0,5.0,6.0,0,14,synthetic_14
2.013057114161285,3.7082375905280593,2.785043990868573,50.73387092757856,4.0,3.0,6.022109763756435,19.70575080809384,48.09674277754708,5.0,16.0,152.0,880.0,21.0,2.0,3.0,0.0025196561136350366,3.0,1.0,7.0,0,15,synthetic_15
2.8137686473023855,4.936349089180844,2.041068336238591,1.2604565512032682,1.0,2.0,22.383934742341303,3.743374925220241,101.59164546839557,1.0,2.0,267.0,590.0,13.0,4.0,3.0,0.07364259258910288,0.0,3.0,3.0,0,16,synthetic_16
4.719639154304272,14.723575516657906,2.195459003651169,6.4835368625730165,5.0,0.0,12.826980184185002,4.0123124734901525,42.26945460345029,7.0,16.0,31.0,165.0,12.0,1.0,5.0,0.32513272844137114,1.0,2.0,7.0,0,17,synthetic_17
3.8276853339016834,11.48773814302768,4.348970739785519,32.81870366453285,3.0,1.0,49.45755528677861,34.70936444834134,1.54291588669526,6.0,10.0,61.0,25.0,29.0,1.0,3.0,0.19848837282300733,0.0,1.0,3.0,0,18,synthetic_18
2.7211149627697075,19.91956077463401,5.187513620989232,27.58714480428617,5.0,1.0,3.4550289347862697,16.879671597725707,133.64527536495865,0.0,19.0,252.0,179.0,16.0,1.0,2.0,0.001598292715641961,0.0,2.0,3.0,1,19,synthetic_19
5.731854369498993,11.718132881697624,5.704586248663446,4.07959264123601,0.0,0.0,11.660202072891662,6.713990246749084,58.48287680055751,4.0,3.0,20.0,19.0,1.0,1.0,1.0,0.48965024864742146,0.0,1.0,7.0,0,20,synthetic_20
1.7511726436366932,9.400443055872573,5.676493095546225,4.697980623630665,0.0,2.0,4.112392020983527,20.294280402279927,56.429877193974455,11.0,1.0,143.0,9.0,13.0,3.0,2.0,0.4445900186951632,0.0,2.0,6.0,0,21,synthetic_21
2.727577560012011,1.9835706144841048,1.2869108396209583,9.255702200487395,5.0,0.0,5.22949843428153,1.99089152380379,12.146599900901197,5.0,19.0,192.0,264.0,26.0,3.0,1.0,0.23850026434867044,0.0,1.0,5.0,0,22,synthetic_22
3.281386091104235,5.584163072070201,3.0461487897200676,13.253251293372287,2.0,2.0,7.900263261024923,26.16616296974852,53.776849683404436,3.0,15.0,194.0,40.0,7.0,2.0,2.0,0.02063250899292837,1.0,0.0,3.0,0,23,synthetic_23
4.044673439298875,4.081601478588311,1.1778451193462134,19.26003668117104,4.0,1.0,16.55131251225912,9.399983898373721,25.03257824479294,1.0,17.0,14.0,76.0,28.0,4.0,1.0,0.43639129677299376,0.0,2.0,2.0,0,24,synthetic_24
8.68968005515456,3.7970020366242125,3.392383947086179,9.206251260007024,0.0,2.0,33.12317629473047,47.91921870095885,52.66755678436182,12.0,7.0,87.0,549.0,26.0,1.0,3.0,0.2629145293775154,1.0,1.0,7.0,0,25,synthetic_25
2.1136793106434517,37.12309406162926,2.7476658249618504,12.417822184418352,4.0,3.0,11.6975768827138,11.147651915405815,5.635653439134803,13.0,2.0,212.0,66.0,5.0,1.0,3.0,0.45692299260758423,0.0,2.0,7.0,0,26,synthetic_26
4.6101457751656385,5.993874970400237,7.559855992662404,27.52457880779685,0.0,1.0,4.3270735487291345,18.221205275859376,53.62461592329283,3.0,8.0,42.0,57.0,8.0,4.0,6.0,0.41799205827211294,1.0,3.0,1.0,0,27,synthetic_27
5.487523606548803,23.26055211248523,2.2965748584036554,0.7474590464295693,1.0,3.0,4.376556606552193,0.3506575815279271,372.0861454852203,0.0,19.0,247.0,380.0,25.0,4.0,5.0,0.48736862035557926,0.0,0.0,5.0,0,28,synthetic_28
1.2378192487820427,10.973343857364831,1.3735179326573526,5.818732437647944,3.0,0.0,10.702542207789325,2.256156669200936,2.4706499447150345,6.0,5.0,284.0,22.0,27.0,2.0,6.0,0.21894837010526333,1.0,0.0,1.0,0,29,synthetic_29
5.676665103248051,16.838252526884,1.462922963626358,24.989837499120515,0.0,0.0,2.1826329604767545,14.951774912571516,188.99315562811142,1.0,9.0,813.0,218.0,14.0,4.0,1.0,0.04536009230532722,2.0,2.0,7.0,1,30,synthetic_30
1.934806259887082,7.984353243887704,5.300291641237282,45.11533508661227,4.0,0.0,0.9365333566452918,19.61426546340038,26.120284122729863,12.0,9.0,57.0,669.0,23.0,1.0,2.0,0.33365288558823075,1.0,1.0,7.0,0,31,synthetic_31
1.3363196543965212,9.60155902641585,3.888717039244105,14.335582244168016,1.0,2.0,3.503354652752932,27.4902631047574,102.30167305078766,1.0,12.0,358.0,352.0,13.0,1.0,4.0,0.2906494820805853,0.0,2.0,3.0,0,32,synthetic_32
15.868438967534654,7.782934333416934,1.3198261367361563,15.190590047061379,0.0,1.0,2.708872851342608,10.345041452233746,76.25150284671463,8.0,16.0,156.0,163.0,15.0,1.0,2.0,0.4067332564885189,1.0,3.0,5.0,0,33,synthetic_33
17.853151712305863,3.172148953252385,1.2635665650058152,2.2672267708132674,2.0,0.0,2.8113175178584444,35.62152343167558,41.85275529632762,4.0,8.0,103.0,61.0,23.0,1.0,1.0,0.05585586667905365,1.0,2.0,4.0,0,34,synthetic_34
